,country_id,country,month_id,year,month,main_mean
126,140,Brunei,536,2024,8,0.0042
127,142,Japan,536,2024,8,0.0277
128,143,North Korea,536,2024,8,0.0359
129,144,Palau,536,2024,8,0.0032
130,145,Philippines,536,2024,8,16.3133
131,146,South Korea,536,2024,8,0.0247
132,147,Cambodia,536,2024,8,0.0083
133,148,Laos,536,2024,8,0.0124
134,149,Myanmar,536,2024,8,316.6623
135,150,Thailand,536,2024,8,2.2562
136,151,Vietnam,536,2024,8,0.0125
137,152,Marshall Is.,536,2024,8,0.003
138,153,Micronesia,536,2024,8,0.0031
139,154,Botswana,536,2024,8,0.0129
140,155,Burundi,536,2024,8,2.949
141,156,Rwanda,536,2024,8,0.0351
142,157,Zambia,536,2024,8,0.0217
143,158,Zimbabwe,536,2024,8,0.0209
144,159,Comoros,536,2024,8,0.0736
145,160,Lesotho,536,2024,8,0.0061
146,161,Malawi,536,2024,8,0.0203
147,162,Mozambique,536,2024,8,9.0728
148,163,South Africa,536,2024,8,0.3837
149,164,Swaziland,536,2024,8,0.1244
150,165,Angola,536,2024,8,0.9672
151,166,Congo,536,2024,8,0.0177
152,167,"Congo, DRC",536,2024,8,119.4478
153,168,Fiji,536,2024,8,0.0212
154,169,Gabon,536,2024,8,0.02
155,170,Namibia,536,2024,8,0.0047
156,171,New Zealand,536,2024,8,0.0202
157,172,Madagascar,536,2024,8,0.0635
158,173,Mauritius,536,2024,8,0.0125
159,174,Seychelles,536,2024,8,0.0095
160,176,Timor Leste,536,2024,8,0.0041
161,177,Australia,536,2024,8,0.0513
162,178,Nauru,536,2024,8,0.0216
163,179,Papua New Guinea,536,2024,8,0.1098
164,180,Solomon Is.,536,2024,8,0.0206
165,181,Tuvalu,536,2024,8,0.0207
166,182,Vanuatu,536,2024,8,0.0239
167,183,Canada,536,2024,8,0.0121
168,184,Germany,536,2024,8,0.0039
169,198,Taiwan,536,2024,8,0.1365
170,199,China,536,2024,8,0.0177
171,205,Malaysia,536,2024,8,0.0308
172,206,Singapore,536,2024,8,0.021
173,209,Indonesia,536,2024,8,3.7438
174,213,Libya,536,2024,8,0.371
175,214,Chad,536,2024,8,1.8949
176,218,Israel,536,2024,8,3614.0226
177,220,Syria,536,2024,8,179.2526
178,222,Egypt,536,2024,8,0.2223
179,223,India,536,2024,8,44.7961
180,231,Montenegro,536,2024,8,0.0023
181,232,Kosovo,536,2024,8,0.0029
182,233,Serbia,536,2024,8,0.0034
183,234,United States,536,2024,8,0.327
184,235,Uganda,536,2024,8,0.7031
185,237,Kenya,536,2024,8,10.984
186,242,Tanzania,536,2024,8,0.0545
187,243,Morocco,536,2024,8,0.1479
188,244,Mauritania,536,2024,8,0.6267
189,245,Sudan,536,2024,8,420.0587
190,246,South Sudan,536,2024,8,0.8551
191,1,Guyana,537,2024,9,0.0093
192,2,Suriname,537,2024,9,0.007
193,3,Trinidad and Tobago,537,2024,9,0.0231
194,4,Venezuela,537,2024,9,0.1962
195,5,Samoa,537,2024,9,0.0053
196,6,Tonga,537,2024,9,0.0056
197,7,Argentina,537,2024,9,0.0113
198,8,Bolivia,537,2024,9,0.0162
199,9,Brazil,537,2024,9,5.177
200,10,Chile,537,2024,9,0.1637
201,11,Ecuador,537,2024,9,0.443
202,12,Paraguay,537,2024,9,0.0079
203,13,Peru,537,2024,9,0.3605
204,14,Uruguay,537,2024,9,0.0038
205,16,Guatemala,537,2024,9,0.0232
206,17,Mexico,537,2024,9,2.4853
207,18,Barbados,537,2024,9,0.0037
208,19,Dominica,537,2024,9,0.005
209,20,Grenada,537,2024,9,0.0048
210,21,St. Lucia,537,2024,9,0.0047
211,22,St. Vincent and the Grenadines,537,2024,9,0.0046
212,23,Dominican Republic,537,2024,9,0.0057
213,24,Haiti,537,2024,9,5.952
214,25,Jamaica,537,2024,9,0.0106
215,26,Bahamas,537,2024,9,0.0048
216,27,Belize,537,2024,9,0.0068
217,28,Colombia,537,2024,9,18.43
218,29,Costa Rica,537,2024,9,0.0074
219,30,Cuba,537,2024,9,0.0115
220,31,El Salvador,537,2024,9,0.0127
221,32,Honduras,537,2024,9,0.0223
222,33,Nicaragua,537,2024,9,0.0086
223,34,Panama,537,2024,9,0.0053
224,35,Antigua and Barbuda,537,2024,9,0.0048
225,36,St. Kitts and Nevis,537,2024,9,0.0049
226,37,Iceland,537,2024,9,0.0052
227,38,Ireland,537,2024,9,0.0057
228,39,United Kingdom,537,2024,9,0.0038
229,40,Cape Verde,537,2024,9,0.0067
230,41,Cote d'Ivoire,537,2024,9,0.1918
231,42,Ghana,537,2024,9,0.0462
232,43,Liberia,537,2024,9,0.0109
233,45,Portugal,537,2024,9,0.0049
234,46,Spain,537,2024,9,0.0068
235,47,Burkina Faso,537,2024,9,457.6067
236,48,Guinea,537,2024,9,0.0419
237,49,Guinea-Bissau,537,2024,9,0.0088
238,50,Mali,537,2024,9,92.8681
239,52,Senegal,537,2024,9,0.0306
240,53,Sierra Leone,537,2024,9,0.0108
241,54,The Gambia,537,2024,9,0.0068
242,55,Djibouti,537,2024,9,0.1338
243,56,Eritrea,537,2024,9,0.0344
244,57,Ethiopia,537,2024,9,378.161
245,58,Mongolia,537,2024,9,0.0089
246,60,Iraq,537,2024,9,25.7147
247,62,Jordan,537,2024,9,0.0608
248,63,Kazakhstan,537,2024,9,0.0112
249,64,Norway,537,2024,9,0.0058
250,65,Russia,537,2024,9,39.6024
251,66,Sweden,537,2024,9,0.0061
252,67,Algeria,537,2024,9,1.0869
253,69,Cameroon,537,2024,9,25.5345
254,70,Central African Republic,537,2024,9,17.1604
255,73,Tunisia,537,2024,9,0.2195
256,74,Benin,537,2024,9,6.0273
257,76,Equatorial Guinea,537,2024,9,0.0165
258,77,Kiribati,537,2024,9,0.0058
259,78,Niger,537,2024,9,134.0957
260,79,Nigeria,537,2024,9,599.1289
261,80,Sao Tome and Principe,537,2024,9,0.0081
262,81,Togo,537,2024,9,3.4213
263,82,Albania,537,2024,9,0.0056
264,83,Bosnia and Herzegovina,537,2024,9,0.0033
265,84,Croatia,537,2024,9,0.0035
266,85,Italy,537,2024,9,0.0059
267,86,Macedonia,537,2024,9,0.0034
268,87,Malta,537,2024,9,0.0038
269,89,Bulgaria,537,2024,9,0.0093
270,90,Cyprus,537,2024,9,0.0044
271,92,Georgia,537,2024,9,0.0114
272,93,Greece,537,2024,9,0.0126
273,94,Lebanon,537,2024,9,32.4731
274,96,Turkey,537,2024,9,1.1493
275,97,Austria,537,2024,9,0.0058
276,98,Czech Republic,537,2024,9,0.0061
277,99,Denmark,537,2024,9,0.0074
278,100,Hungary,537,2024,9,0.0113
279,101,Poland,537,2024,9,0.1285
280,102,Slovakia,537,2024,9,0.0034
281,103,Slovenia,537,2024,9,0.0067
282,104,Belgium,537,2024,9,0.0079
283,105,France,537,2024,9,0.0172
284,107,Luxembourg,537,2024,9,0.0033
285,108,Netherlands,537,2024,9,0.0038
286,109,Switzerland,537,2024,9,0.005
287,110,Belarus,537,2024,9,0.0171
288,111,Estonia,537,2024,9,0.0021
289,112,Finland,537,2024,9,0.0065
290,113,Latvia,537,2024,9,0.0047
291,114,Lithuania,537,2024,9,0.0045
292,115,Moldova,537,2024,9,0.0023
293,116,Romania,537,2024,9,0.0063
294,117,Ukraine,537,2024,9,9097.9831
295,118,Maldives,537,2024,9,0.0085
296,119,Oman,537,2024,9,1.9358
297,120,Somalia,537,2024,9,338.9173
298,121,Sri Lanka,537,2024,9,0.011
299,122,Turkmenistan,537,2024,9,0.0083
300,123,Uzbekistan,537,2024,9,0.0217
301,124,Yemen,537,2024,9,42.7109
302,125,Armenia,537,2024,9,0.2253
303,126,Azerbaijan,537,2024,9,0.4037
304,127,Bahrain,537,2024,9,0.0091
305,128,Iran,537,2024,9,3.1376
306,129,Kuwait,537,2024,9,0.0189
307,130,Qatar,537,2024,9,0.0315
308,131,Saudi Arabia,537,2024,9,0.4226
309,132,United Arab Emirates,537,2024,9,0.0155
310,133,Afghanistan,537,2024,9,23.332
311,134,Kyrgyzstan,537,2024,9,0.1452
312,135,Nepal,537,2024,9,0.0112
313,136,Pakistan,537,2024,9,191.1868
314,137,Tajikistan,537,2024,9,0.1474
315,138,Bangladesh,537,2024,9,2.2536
316,139,Bhutan,537,2024,9,0.0118
317,140,Brunei,537,2024,9,0.0041
318,142,Japan,537,2024,9,0.011
319,143,North Korea,537,2024,9,0.0405
320,144,Palau,537,2024,9,0.0025
321,145,Philippines,537,2024,9,19.128
322,146,South Korea,537,2024,9,0.0098
323,147,Cambodia,537,2024,9,0.0087
