country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
130,Qatar,2026,130.1226,6.0,2068.71,conflict
9,Brazil,2026,60.6417,18.0,236.89833333333334,conflict
213,Libya,2026,18.3769,12.0,53.140833333333326,no-conflict
25,Jamaica,2026,1.3820999999999999,1.0,38.20999999999999,no-conflict
11,Ecuador,2026,27.9774,23.0,21.64086956521739,conflict
126,Azerbaijan,2026,4.2086,4.0,5.214999999999992,no-conflict
131,Saudi Arabia,2026,4.3566,5.0,-12.867999999999997,no-conflict
222,Egypt,2026,2.5596,3.0,-14.679999999999996,no-conflict
156,Rwanda,2026,4.0867,5.0,-18.26599999999999,no-conflict
41,Cote d'Ivoire,2026,0.8079,1.0,-19.210000000000004,no-conflict
81,Togo,2026,9.1462,14.0,-34.669999999999995,no-conflict
147,Cambodia,2026,7.0404,11.0,-35.99636363636364,no-conflict
42,Ghana,2026,1.1787,2.0,-41.065,no-conflict
234,United States,2026,1.4587999999999999,3.0,-51.373333333333335,no-conflict
137,Tajikistan,2026,3.0641,7.0,-56.227142857142866,no-conflict
164,Swaziland,2026,0.8246,2.0,-58.77,no-conflict
23,Dominican Republic,2026,2.6049,7.0,-62.787142857142854,no-conflict
235,Uganda,2026,2.6139,8.0,-67.32625,no-conflict
243,Morocco,2026,3.0216,10.0,-69.784,no-conflict
179,Papua New Guinea,2026,1.6644999999999999,6.0,-72.25833333333333,no-conflict
138,Bangladesh,2026,1.4094,6.0,-76.51,no-conflict
96,Turkey,2026,6.4901,0.0,,no-conflict
155,Burundi,2026,4.2036999999999995,0.0,,no-conflict
244,Mauritania,2026,3.1496,0.0,,no-conflict
13,Peru,2026,1.7563,0.0,,no-conflict
242,Tanzania,2026,1.2845,0.0,,no-conflict
87,Malta,2026,1.2034,0.0,,no-conflict
89,Bulgaria,2026,1.1824,0.0,,no-conflict
85,Italy,2026,1.1583,0.0,,no-conflict
90,Cyprus,2026,1.1536,0.0,,no-conflict
76,Equatorial Guinea,2026,1.0566,0.0,,no-conflict
125,Armenia,2026,1.0202,0.0,,no-conflict
29,Costa Rica,2026,0.9744,0.0,,no-conflict
30,Cuba,2026,0.9668,0.0,,no-conflict
64,Norway,2026,0.9564,0.0,,no-conflict
10,Chile,2026,0.9537,0.0,,no-conflict
