,country_id,country,year,main_mean,actuals_last_12months
0,130,Qatar,2026,130.1226,6.0
1,9,Brazil,2026,60.6417,18.0
2,11,Ecuador,2026,27.9774,23.0
3,213,Libya,2026,18.3769,12.0
4,81,Togo,2026,9.1462,14.0
5,147,Cambodia,2026,7.0404,11.0
6,96,Turkey,2026,6.4901,0.0
7,131,Saudi Arabia,2026,4.3566,5.0
8,126,Azerbaijan,2026,4.2086,4.0
9,155,Burundi,2026,4.2036999999999995,0.0
10,156,Rwanda,2026,4.0867,5.0
11,244,Mauritania,2026,3.1496,0.0
12,137,Tajikistan,2026,3.0641,7.0
13,243,Morocco,2026,3.0216,10.0
14,235,Uganda,2026,2.6139,8.0
15,23,Dominican Republic,2026,2.6049,7.0
16,222,Egypt,2026,2.5596,3.0
17,13,Peru,2026,1.7563,0.0
18,179,Papua New Guinea,2026,1.6644999999999999,6.0
19,234,United States,2026,1.4587999999999999,3.0
20,138,Bangladesh,2026,1.4094,6.0
21,25,Jamaica,2026,1.3820999999999999,1.0
22,242,Tanzania,2026,1.2845,0.0
23,87,Malta,2026,1.2034,0.0
24,89,Bulgaria,2026,1.1824,0.0
25,42,Ghana,2026,1.1787,2.0
26,85,Italy,2026,1.1583,0.0
27,90,Cyprus,2026,1.1536,0.0
28,76,Equatorial Guinea,2026,1.0566,0.0
29,125,Armenia,2026,1.0202,0.0
30,29,Costa Rica,2026,0.9744,0.0
31,30,Cuba,2026,0.9668,0.0
32,64,Norway,2026,0.9564,0.0
33,10,Chile,2026,0.9537,0.0
34,38,Ireland,2026,0.9503,0.0
35,14,Uruguay,2026,0.9503,0.0
36,45,Portugal,2026,0.9499,0.0
37,80,Sao Tome and Principe,2026,0.9451,0.0
38,19,Dominica,2026,0.9417,0.0
39,2,Suriname,2026,0.9413,0.0
40,77,Kiribati,2026,0.9405,0.0
41,40,Cape Verde,2026,0.9405,0.0
42,6,Tonga,2026,0.9398,0.0
43,5,Samoa,2026,0.9398,0.0
44,22,St. Vincent and the Grenadines,2026,0.9392,0.0
45,21,St. Lucia,2026,0.9392,0.0
46,37,Iceland,2026,0.9384,0.0
47,20,Grenada,2026,0.9377,0.0
48,26,Bahamas,2026,0.937,0.0
49,18,Barbados,2026,0.9369000000000001,0.0
50,62,Jordan,2026,0.8533,0.0
51,8,Bolivia,2026,0.8255,0.0
52,164,Swaziland,2026,0.8246,2.0
53,172,Madagascar,2026,0.8243,0.0
54,58,Mongolia,2026,0.8222,0.0
55,41,Cote d'Ivoire,2026,0.8079,1.0
56,7,Argentina,2026,0.7381,0.0
57,101,Poland,2026,0.6884,0.0
58,3,Trinidad and Tobago,2026,0.6778,0.0
59,199,China,2026,0.6592,0.0
60,33,Nicaragua,2026,0.6214,0.0
61,157,Zambia,2026,0.6094999999999999,0.0
62,12,Paraguay,2026,0.6059,0.0
63,49,Guinea-Bissau,2026,0.5979,0.0
64,82,Albania,2026,0.5871,0.0
65,56,Eritrea,2026,0.5581,0.0
66,177,Australia,2026,0.5481,0.0
67,34,Panama,2026,0.5358,0.0
68,32,Honduras,2026,0.5274,0.0
69,55,Djibouti,2026,0.5246,0.0
70,161,Malawi,2026,0.5228999999999999,0.0
71,151,Vietnam,2026,0.4939,0.0
72,66,Sweden,2026,0.4851,0.0
73,54,The Gambia,2026,0.4774,0.0
