,country_id,country,year,main_mean
117,31,El Salvador,2026,0.1811
173,46,Spain,2026,0.1766
149,39,United Kingdom,2026,0.1717
429,121,Sri Lanka,2026,0.16570000000000001
293,83,Bosnia and Herzegovina,2026,0.1613
725,232,Kosovo,2026,0.1557
721,231,Montenegro,2026,0.1471
101,27,Belize,2026,0.1235
405,115,Moldova,2026,0.1207
673,184,Germany,2026,0.1182
197,53,Sierra Leone,2026,0.113
341,98,Czech Republic,2026,0.1081
621,170,Namibia,2026,0.1062
165,43,Liberia,2026,0.1062
729,233,Serbia,2026,0.1057
397,113,Latvia,2026,0.104
357,102,Slovakia,2026,0.1036
297,84,Croatia,2026,0.1022
401,114,Lithuania,2026,0.1016
361,103,Slovenia,2026,0.0999
389,111,Estonia,2026,0.0986
133,35,Antigua and Barbuda,2026,0.0985
641,176,Timor Leste,2026,0.0967
505,140,Brunei,2026,0.0927
549,152,Marshall Is.,2026,0.0926
553,153,Micronesia,2026,0.0926
517,144,Palau,2026,0.0926
137,36,St. Kitts and Nevis,2026,0.0926
