country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
184,Germany,2026,0.1456,0.0,,no-conflict
97,Austria,2026,0.1421,0.0,,no-conflict
182,Vanuatu,2026,0.1364,0.0,,no-conflict
29,Costa Rica,2026,0.1344,0.0,,no-conflict
39,United Kingdom,2026,0.12359999999999999,0.0,,no-conflict
198,Taiwan,2026,0.1189,0.0,,no-conflict
19,Dominica,2026,0.118,0.0,,no-conflict
183,Canada,2026,0.11599999999999999,0.0,,no-conflict
14,Uruguay,2026,0.10550000000000001,0.0,,no-conflict
112,Finland,2026,0.1055,0.0,,no-conflict
82,Albania,2026,0.0965,0.0,,no-conflict
121,Sri Lanka,2026,0.096,0.0,,no-conflict
26,Bahamas,2026,0.0959,0.0,,no-conflict
64,Norway,2026,0.09559999999999999,0.0,,no-conflict
93,Greece,2026,0.0949,0.0,,no-conflict
54,The Gambia,2026,0.0939,0.0,,no-conflict
10,Chile,2026,0.0935,0.0,,no-conflict
104,Belgium,2026,0.0871,0.0,,no-conflict
233,Serbia,2026,0.0858,0.0,,no-conflict
46,Spain,2026,0.08499999999999999,0.0,,no-conflict
168,Fiji,2026,0.0839,0.0,,no-conflict
34,Panama,2026,0.0809,0.0,,no-conflict
170,Namibia,2026,0.08070000000000001,0.0,,no-conflict
77,Kiribati,2026,0.07970000000000001,0.0,,no-conflict
160,Lesotho,2026,0.0778,0.0,,no-conflict
86,Macedonia,2026,0.0762,0.0,,no-conflict
20,Grenada,2026,0.0748,0.0,,no-conflict
35,Antigua and Barbuda,2026,0.0733,0.0,,no-conflict
154,Botswana,2026,0.0713,0.0,,no-conflict
181,Tuvalu,2026,0.0698,0.0,,no-conflict
36,St. Kitts and Nevis,2026,0.0692,0.0,,no-conflict
84,Croatia,2026,0.0688,0.0,,no-conflict
173,Mauritius,2026,0.0639,0.0,,no-conflict
231,Montenegro,2026,0.0637,0.0,,no-conflict
66,Sweden,2026,0.0634,0.0,,no-conflict
144,Palau,2026,0.0607,0.0,,no-conflict
21,St. Lucia,2026,0.0605,0.0,,no-conflict
140,Brunei,2026,0.060200000000000004,0.0,,no-conflict
22,St. Vincent and the Grenadines,2026,0.058499999999999996,0.0,,no-conflict
6,Tonga,2026,0.0579,0.0,,no-conflict
115,Moldova,2026,0.057,0.0,,no-conflict
102,Slovakia,2026,0.056999999999999995,0.0,,no-conflict
43,Liberia,2026,0.055,0.0,,no-conflict
146,South Korea,2026,0.0542,0.0,,no-conflict
87,Malta,2026,0.0524,0.0,,no-conflict
5,Samoa,2026,0.052199999999999996,0.0,,no-conflict
153,Micronesia,2026,0.0516,0.0,,no-conflict
180,Solomon Is.,2026,0.0508,0.0,,no-conflict
152,Marshall Is.,2026,0.0481,0.0,,no-conflict
53,Sierra Leone,2026,0.0429,0.0,,no-conflict
142,Japan,2026,0.0424,0.0,,no-conflict
83,Bosnia and Herzegovina,2026,0.0412,0.0,,no-conflict
38,Ireland,2026,0.0406,0.0,,no-conflict
118,Maldives,2026,0.0393,0.0,,no-conflict
85,Italy,2026,0.038400000000000004,0.0,,no-conflict
176,Timor Leste,2026,0.036899999999999995,0.0,,no-conflict
40,Cape Verde,2026,0.0341,0.0,,no-conflict
111,Estonia,2026,0.033100000000000004,0.0,,no-conflict
113,Latvia,2026,0.0319,0.0,,no-conflict
80,Sao Tome and Principe,2026,0.0293,0.0,,no-conflict
174,Seychelles,2026,0.0293,0.0,,no-conflict
98,Czech Republic,2026,0.0264,0.0,,no-conflict
45,Portugal,2026,0.025400000000000002,0.0,,no-conflict
18,Barbados,2026,0.0249,0.0,,no-conflict
108,Netherlands,2026,0.022600000000000002,0.0,,no-conflict
114,Lithuania,2026,0.0206,0.0,,no-conflict
37,Iceland,2026,0.0165,0.0,,no-conflict
103,Slovenia,2026,0.015099999999999999,0.0,,no-conflict
107,Luxembourg,2026,0.013,0.0,,no-conflict
109,Switzerland,2026,0.013,0.0,,no-conflict
90,Cyprus,2026,0.0097,0.0,,no-conflict
171,New Zealand,2026,0.0095,0.0,,no-conflict
