,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
95,205,Malaysia,2026,0.3011,0.0,,no-conflict
96,101,Poland,2026,0.29059999999999997,0.0,,no-conflict
97,1,Guyana,2026,0.29059999999999997,0.0,,no-conflict
98,12,Paraguay,2026,0.29059999999999997,0.0,,no-conflict
99,116,Romania,2026,0.2735,0.0,,no-conflict
100,104,Belgium,2026,0.2714,0.0,,no-conflict
101,232,Kosovo,2026,0.2617,0.0,,no-conflict
102,132,United Arab Emirates,2026,0.2582,0.0,,no-conflict
103,135,Nepal,2026,0.24230000000000002,0.0,,no-conflict
105,30,Cuba,2026,0.2219,0.0,,no-conflict
106,58,Mongolia,2026,0.22,0.0,,no-conflict
107,170,Namibia,2026,0.2198,0.0,,no-conflict
108,127,Bahrain,2026,0.219,0.0,,no-conflict
109,184,Germany,2026,0.2187,0.0,,no-conflict
110,105,France,2026,0.2128,0.0,,no-conflict
111,169,Gabon,2026,0.20679999999999998,0.0,,no-conflict
112,39,United Kingdom,2026,0.2059,0.0,,no-conflict
113,63,Kazakhstan,2026,0.2006,0.0,,no-conflict
114,139,Bhutan,2026,0.1999,0.0,,no-conflict
115,35,Antigua and Barbuda,2026,0.1954,0.0,,no-conflict
116,121,Sri Lanka,2026,0.1931,0.0,,no-conflict
117,29,Costa Rica,2026,0.1852,0.0,,no-conflict
118,46,Spain,2026,0.1745,0.0,,no-conflict
119,66,Sweden,2026,0.1709,0.0,,no-conflict
120,2,Suriname,2026,0.1693,0.0,,no-conflict
121,159,Comoros,2026,0.1636,0.0,,no-conflict
122,49,Guinea-Bissau,2026,0.1598,0.0,,no-conflict
123,160,Lesotho,2026,0.15940000000000001,0.0,,no-conflict
124,7,Argentina,2026,0.15689999999999998,0.0,,no-conflict
125,89,Bulgaria,2026,0.1523,0.0,,no-conflict
126,84,Croatia,2026,0.1498,0.0,,no-conflict
127,83,Bosnia and Herzegovina,2026,0.1427,0.0,,no-conflict
128,183,Canada,2026,0.1397,0.0,,no-conflict
129,115,Moldova,2026,0.1366,0.0,,no-conflict
130,112,Finland,2026,0.1298,0.0,,no-conflict
131,180,Solomon Is.,2026,0.12380000000000001,0.0,,no-conflict
132,154,Botswana,2026,0.1228,0.0,,no-conflict
133,77,Kiribati,2026,0.12029999999999999,0.0,,no-conflict
134,19,Dominica,2026,0.116,0.0,,no-conflict
135,26,Bahamas,2026,0.1151,0.0,,no-conflict
136,64,Norway,2026,0.1147,0.0,,no-conflict
137,102,Slovakia,2026,0.11449999999999999,0.0,,no-conflict
138,53,Sierra Leone,2026,0.1066,0.0,,no-conflict
139,173,Mauritius,2026,0.1028,0.0,,no-conflict
140,93,Greece,2026,0.1027,0.0,,no-conflict
141,97,Austria,2026,0.0985,0.0,,no-conflict
142,80,Sao Tome and Principe,2026,0.0979,0.0,,no-conflict
143,20,Grenada,2026,0.0861,0.0,,no-conflict
144,34,Panama,2026,0.0836,0.0,,no-conflict
145,36,St. Kitts and Nevis,2026,0.0824,0.0,,no-conflict
146,178,Nauru,2026,0.082,0.0,,no-conflict
147,43,Liberia,2026,0.0808,0.0,,no-conflict
148,14,Uruguay,2026,0.0801,0.0,,no-conflict
149,54,The Gambia,2026,0.0785,0.0,,no-conflict
150,10,Chile,2026,0.0785,0.0,,no-conflict
151,38,Ireland,2026,0.0784,0.0,,no-conflict
152,181,Tuvalu,2026,0.0773,0.0,,no-conflict
