country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
34,Panama,2026,0.0836,0.0,,no-conflict
36,St. Kitts and Nevis,2026,0.0824,0.0,,no-conflict
178,Nauru,2026,0.082,0.0,,no-conflict
43,Liberia,2026,0.0808,0.0,,no-conflict
14,Uruguay,2026,0.0801,0.0,,no-conflict
54,The Gambia,2026,0.0785,0.0,,no-conflict
10,Chile,2026,0.0785,0.0,,no-conflict
38,Ireland,2026,0.0784,0.0,,no-conflict
181,Tuvalu,2026,0.0773,0.0,,no-conflict
198,Taiwan,2026,0.077,0.0,,no-conflict
5,Samoa,2026,0.0758,0.0,,no-conflict
144,Palau,2026,0.074,0.0,,no-conflict
21,St. Lucia,2026,0.0711,0.0,,no-conflict
231,Montenegro,2026,0.0695,0.0,,no-conflict
22,St. Vincent and the Grenadines,2026,0.0691,0.0,,no-conflict
86,Macedonia,2026,0.067,0.0,,no-conflict
6,Tonga,2026,0.0658,0.0,,no-conflict
153,Micronesia,2026,0.0638,0.0,,no-conflict
152,Marshall Is.,2026,0.0628,0.0,,no-conflict
233,Serbia,2026,0.062,0.0,,no-conflict
118,Maldives,2026,0.0578,0.0,,no-conflict
140,Brunei,2026,0.0563,0.0,,no-conflict
168,Fiji,2026,0.0527,0.0,,no-conflict
82,Albania,2026,0.0521,0.0,,no-conflict
18,Barbados,2026,0.0512,0.0,,no-conflict
40,Cape Verde,2026,0.05,0.0,,no-conflict
182,Vanuatu,2026,0.0454,0.0,,no-conflict
176,Timor Leste,2026,0.0434,0.0,,no-conflict
206,Singapore,2026,0.042499999999999996,0.0,,no-conflict
98,Czech Republic,2026,0.0407,0.0,,no-conflict
37,Iceland,2026,0.0405,0.0,,no-conflict
146,South Korea,2026,0.0392,0.0,,no-conflict
45,Portugal,2026,0.0387,0.0,,no-conflict
87,Malta,2026,0.0382,0.0,,no-conflict
114,Lithuania,2026,0.0351,0.0,,no-conflict
85,Italy,2026,0.035,0.0,,no-conflict
174,Seychelles,2026,0.0343,0.0,,no-conflict
142,Japan,2026,0.0316,0.0,,no-conflict
109,Switzerland,2026,0.0294,0.0,,no-conflict
103,Slovenia,2026,0.0282,0.0,,no-conflict
108,Netherlands,2026,0.0265,0.0,,no-conflict
107,Luxembourg,2026,0.0247,0.0,,no-conflict
99,Denmark,2026,0.0215,0.0,,no-conflict
113,Latvia,2026,0.0208,0.0,,no-conflict
90,Cyprus,2026,0.0165,0.0,,no-conflict
171,New Zealand,2026,0.0138,0.0,,no-conflict
111,Estonia,2026,0.0117,0.0,,no-conflict
