,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
34,213,Libya,2026,30.0423,12.0,150.3525,medium
32,9,Brazil,2026,34.2533,18.0,90.29611111111113,medium
25,237,Kenya,2026,87.8107,47.0,86.83127659574468,medium
31,17,Mexico,2026,35.1445,33.0,6.498484848484851,medium
33,214,Chad,2026,32.7343,43.0,-23.873720930232565,medium
29,150,Thailand,2026,46.6271,77.0,-39.44532467532468,medium
27,209,Indonesia,2026,59.5009,119.0,-49.99924369747899,medium
26,70,Central African Republic,2026,71.7968,226.0,-68.23150442477875,medium
30,74,Benin,2026,36.1902,168.0,-78.45821428571428,medium
28,246,South Sudan,2026,58.0371,319.0,-81.80655172413793,medium
