,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
155,144,Palau,2026,0.074,0.0,,low
156,21,St. Lucia,2026,0.0711,0.0,,low
157,231,Montenegro,2026,0.0695,0.0,,low
158,22,St. Vincent and the Grenadines,2026,0.0691,0.0,,low
159,86,Macedonia,2026,0.067,0.0,,low
160,6,Tonga,2026,0.0658,0.0,,low
161,153,Micronesia,2026,0.0638,0.0,,low
162,152,Marshall Is.,2026,0.0628,0.0,,low
163,233,Serbia,2026,0.062,0.0,,low
164,118,Maldives,2026,0.0578,0.0,,low
165,140,Brunei,2026,0.0563,0.0,,low
166,168,Fiji,2026,0.0527,0.0,,low
167,82,Albania,2026,0.0521,0.0,,low
168,18,Barbados,2026,0.0512,0.0,,low
169,40,Cape Verde,2026,0.05,0.0,,low
170,182,Vanuatu,2026,0.0454,0.0,,low
171,176,Timor Leste,2026,0.0434,0.0,,low
172,206,Singapore,2026,0.042499999999999996,0.0,,low
173,98,Czech Republic,2026,0.0407,0.0,,low
174,37,Iceland,2026,0.0405,0.0,,low
175,146,South Korea,2026,0.0392,0.0,,low
176,45,Portugal,2026,0.0387,0.0,,low
177,87,Malta,2026,0.0382,0.0,,low
178,114,Lithuania,2026,0.0351,0.0,,low
179,85,Italy,2026,0.035,0.0,,low
180,174,Seychelles,2026,0.0343,0.0,,low
181,142,Japan,2026,0.0316,0.0,,low
182,109,Switzerland,2026,0.0294,0.0,,low
183,103,Slovenia,2026,0.0282,0.0,,low
184,108,Netherlands,2026,0.0265,0.0,,low
185,107,Luxembourg,2026,0.0247,0.0,,low
186,99,Denmark,2026,0.0215,0.0,,low
187,113,Latvia,2026,0.0208,0.0,,low
188,90,Cyprus,2026,0.0165,0.0,,low
189,171,New Zealand,2026,0.0138,0.0,,low
190,111,Estonia,2026,0.0117,0.0,,low
